Collection: unidade_familiar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
enderecoPessoa.endereco.codigoMunicipio.codigoMunicipio,string,S_MUNICIPIO,cd_municipio,varchar,Não se aplica
enderecoPessoa.endereco.codigoMunicipio.codgoUf,string,S_MUNICIPIO,cd_uf,varchar,Não se aplica
enderecoPessoa.endereco.codigoMunicipio.siglaUf,string,S_MUNICIPIO,sg_uf,varchar,Não se aplica
enderecoPessoa.endereco.codigoMunicipio.nome,string,S_MUNICIPIO,nm_municipio,varchar,Não se aplica
,,,,,
,,,,,
enquadramentoRendas,array,S_UNIDADE_FAMILIAR_ENQUADRAMENTO_RENDA,Não se aplica,Não se aplica,Não se aplica
enquadramentoRendas[].id,string,S_UNIDADE_FAMILIAR_ENQUADRAMENTO_RENDA,id_unidade_familiar_enquadramento_renda,uuid,Não se aplica
,,,,,
enquadramentoRendas[].tipoEnquadramentoRenda,Object,S_TIPO_ENQUADRAMENTO_RENDA,Não se aplica,Não se aplica,Não se aplica
enquadramentoRendas[].tipoEnquadramentoRenda.id,integer,S_TIPO_ENQUADRAMENTO_RENDA,id_tipo_enquadramento_renda,integer,Não se aplica
enquadramentoRendas[].tipoEnquadramentoRenda.descricao,string,S_TIPO_ENQUADRAMENTO_RENDA,ds_tipo_enquadramento_renda,varchar,Não se aplica
,,,,,
,,,,,
numeroCaf,string,Não se aplica,Não se aplica,Não se aplica,"fn_compor_caf_para_exibicao(caf.nr_caf, caf.id_tipo_caf)"
