Collection: unidade_familiar_pessoa,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
pessoaFisica.etnia.nome,string,S_TIPO_ETNIA,nm_tipo_etnia,varchar,Não se aplica
,,,,,
pessoaFisica.escolaridade,Object,S_TIPO_ESCOLARIDADE,Não se aplica,Não se aplica,Não se aplica
pessoaFisica.escolaridade.id,integer,S_TIPO_ESCOLARIDADE,id_tipo_escolaridade,integer,Não se aplica
pessoaFisica.escolaridade.descricao,string,S_TIPO_ESCOLARIDADE,ds_tipo_escolaridade,varchar,Não se aplica
,,,,,
,,,,,
tipoMembro,Object,S_TIPO_MEMBRO_FAMILIAR,Não se aplica,Não se aplica,Não se aplica
tipoMembro.id,integer,S_TIPO_MEMBRO_FAMILIAR,id_tipo_membro_familiar,integer,Não se aplica
tipoMembro.nome,string,S_TIPO_MEMBRO_FAMILIAR,nm_tipo_membro_familiar,varchar,Não se aplica
