2025-06-25 17:03:36 | INFO | mongo_inserter:connect:33 | Conectando ao MongoDB: audit_db
2025-06-25 17:03:36 | INFO | mongo_inserter:connect:46 | Conexão com MongoDB estabelecida com sucesso
2025-06-25 17:03:36 | INFO | mongo_inserter:create_indexes:263 | Criando índices no MongoDB
2025-06-25 17:03:36 | ERROR | mongo_inserter:create_indexes:282 | Erro ao criar índices: Command createIndexes requires authentication, full error: {'ok': 0.0, 'errmsg': 'Command createIndexes requires authentication', 'code': 13, 'codeName': 'Unauthorized'}
2025-06-25 17:03:36 | INFO | dump_parser:list_dump_files:235 | Encontrados 2 arquivos de dump em ./dumps
2025-06-25 17:03:36 | INFO | dump_parser:parse_dump_file:50 | Iniciando parse do dump: dumps\dump_2024-01-16_inicial.sql
2025-06-25 17:03:36 | INFO | dump_parser:parse_dump_file:72 | Tabela usuarios: 4 registros extraídos
2025-06-25 17:03:36 | INFO | dump_parser:parse_dump_file:72 | Tabela produtos: 4 registros extraídos
2025-06-25 17:03:36 | WARNING | dump_parser:parse_dump_file:74 | Tabela pedidos não encontrada no dump
2025-06-25 17:03:36 | WARNING | dump_parser:parse_dump_file:74 | Tabela configuracoes não encontrada no dump
2025-06-25 17:03:36 | INFO | dump_parser:parse_dump_file:80 | Parse concluído. 2 tabelas processadas
2025-06-25 17:03:36 | ERROR | mongo_inserter:insert_dump_metadata:170 | Erro ao inserir metadados do dump: Command insert requires authentication, full error: {'ok': 0.0, 'errmsg': 'Command insert requires authentication', 'code': 13, 'codeName': 'Unauthorized'}
2025-06-25 17:03:36 | INFO | dump_parser:parse_dump_file:50 | Iniciando parse do dump: dumps\dump_2024-01-17_alteracoes.sql
2025-06-25 17:03:36 | INFO | dump_parser:parse_dump_file:72 | Tabela usuarios: 5 registros extraídos
2025-06-25 17:03:36 | INFO | dump_parser:parse_dump_file:72 | Tabela produtos: 5 registros extraídos
2025-06-25 17:03:36 | WARNING | dump_parser:parse_dump_file:74 | Tabela pedidos não encontrada no dump
2025-06-25 17:03:36 | WARNING | dump_parser:parse_dump_file:74 | Tabela configuracoes não encontrada no dump
2025-06-25 17:03:36 | INFO | dump_parser:parse_dump_file:80 | Parse concluído. 2 tabelas processadas
2025-06-25 17:03:36 | ERROR | mongo_inserter:insert_dump_metadata:170 | Erro ao inserir metadados do dump: Command insert requires authentication, full error: {'ok': 0.0, 'errmsg': 'Command insert requires authentication', 'code': 13, 'codeName': 'Unauthorized'}
2025-06-25 17:03:36 | INFO | data_comparator:compare_dumps:64 | Iniciando comparação entre dump_2024-01-16_inicial.sql e dump_2024-01-17_alteracoes.sql
2025-06-25 17:03:36 | INFO | data_comparator:compare_dumps:78 | Comparando tabela: produtos
2025-06-25 17:03:36 | INFO | data_comparator:compare_dumps:93 | Tabela produtos: 9 alterações detectadas
2025-06-25 17:03:36 | INFO | data_comparator:compare_dumps:78 | Comparando tabela: usuarios
2025-06-25 17:03:36 | WARNING | data_comparator:_compare_table_data:143 | Coluna password_hash não encontrada na tabela usuarios
2025-06-25 17:03:36 | INFO | data_comparator:compare_dumps:93 | Tabela usuarios: 7 alterações detectadas
2025-06-25 17:03:36 | INFO | data_comparator:compare_dumps:103 | Comparação concluída: 16 alterações em 2 tabelas
2025-06-25 17:03:36 | INFO | mongo_inserter:insert_changes:78 | Inserindo 16 alterações no MongoDB
2025-06-25 17:03:36 | ERROR | mongo_inserter:insert_changes:93 | Erro ao inserir alterações no MongoDB: Command insert requires authentication, full error: {'ok': 0.0, 'errmsg': 'Command insert requires authentication', 'code': 13, 'codeName': 'Unauthorized'}
2025-06-25 17:03:36 | INFO | mongo_inserter:disconnect:57 | Conexão com MongoDB fechada
2025-06-25 17:04:07 | INFO | mongo_inserter:connect:33 | Conectando ao MongoDB: audit_db
2025-06-25 17:04:07 | INFO | mongo_inserter:connect:46 | Conexão com MongoDB estabelecida com sucesso
2025-06-25 17:04:07 | INFO | mongo_inserter:create_indexes:263 | Criando índices no MongoDB
2025-06-25 17:04:07 | ERROR | mongo_inserter:create_indexes:282 | Erro ao criar índices: Command createIndexes requires authentication, full error: {'ok': 0.0, 'errmsg': 'Command createIndexes requires authentication', 'code': 13, 'codeName': 'Unauthorized'}
2025-06-25 17:04:07 | INFO | dump_parser:list_dump_files:235 | Encontrados 2 arquivos de dump em ./dumps
2025-06-25 17:04:07 | INFO | dump_parser:parse_dump_file:50 | Iniciando parse do dump: dumps\dump_2024-01-16_inicial.sql
2025-06-25 17:04:07 | INFO | dump_parser:parse_dump_file:72 | Tabela usuarios: 4 registros extraídos
2025-06-25 17:04:07 | INFO | dump_parser:parse_dump_file:72 | Tabela produtos: 4 registros extraídos
2025-06-25 17:04:07 | WARNING | dump_parser:parse_dump_file:74 | Tabela pedidos não encontrada no dump
2025-06-25 17:04:07 | WARNING | dump_parser:parse_dump_file:74 | Tabela configuracoes não encontrada no dump
2025-06-25 17:04:07 | INFO | dump_parser:parse_dump_file:80 | Parse concluído. 2 tabelas processadas
2025-06-25 17:04:07 | ERROR | mongo_inserter:insert_dump_metadata:170 | Erro ao inserir metadados do dump: Command insert requires authentication, full error: {'ok': 0.0, 'errmsg': 'Command insert requires authentication', 'code': 13, 'codeName': 'Unauthorized'}
2025-06-25 17:04:07 | INFO | dump_parser:parse_dump_file:50 | Iniciando parse do dump: dumps\dump_2024-01-17_alteracoes.sql
2025-06-25 17:04:07 | INFO | dump_parser:parse_dump_file:72 | Tabela usuarios: 5 registros extraídos
2025-06-25 17:04:07 | INFO | dump_parser:parse_dump_file:72 | Tabela produtos: 5 registros extraídos
2025-06-25 17:04:07 | WARNING | dump_parser:parse_dump_file:74 | Tabela pedidos não encontrada no dump
2025-06-25 17:04:07 | WARNING | dump_parser:parse_dump_file:74 | Tabela configuracoes não encontrada no dump
2025-06-25 17:04:07 | INFO | dump_parser:parse_dump_file:80 | Parse concluído. 2 tabelas processadas
2025-06-25 17:04:07 | ERROR | mongo_inserter:insert_dump_metadata:170 | Erro ao inserir metadados do dump: Command insert requires authentication, full error: {'ok': 0.0, 'errmsg': 'Command insert requires authentication', 'code': 13, 'codeName': 'Unauthorized'}
2025-06-25 17:04:07 | INFO | data_comparator:compare_dumps:64 | Iniciando comparação entre dump_2024-01-16_inicial.sql e dump_2024-01-17_alteracoes.sql
2025-06-25 17:04:07 | INFO | data_comparator:compare_dumps:78 | Comparando tabela: produtos
2025-06-25 17:04:07 | INFO | data_comparator:compare_dumps:93 | Tabela produtos: 9 alterações detectadas
2025-06-25 17:04:07 | INFO | data_comparator:compare_dumps:78 | Comparando tabela: usuarios
2025-06-25 17:04:07 | WARNING | data_comparator:_compare_table_data:143 | Coluna password_hash não encontrada na tabela usuarios
